firstname,lastname,years,birthday,team,skills,manager,email
Merle,Georgy,69,1994-05-21,worker,"typescript,ts",FALSE,Merle.Georgy@mailmail.com
Jacenta,Fiann,63,1998-11-19,Developers,"js,ts",FALSE,Jacenta.Fiann@mailmail.com
Arlena,Rodmann,30,2023-04-20,Developers,"python,javascript",FALSE,Arlena.Rodmann@mailmail.com
Tamqrah,Timon,56,2011-09-21,developer,"typescript,java,javascript",TRUE,Tamqrah.Timon@mailmail.com
Cyb,Ardeha,45,1948-08-17,Developers,typescript,FALSE,Cyb.Ardeha@mailmail.com
Lorie,Bigner,57,1941-07-01,worker,"ts,java,js",FALSE,Lorie.Bigner@mailmail.com
Jasmina,Madelene,60,1987-10-11,Developers,typescript,FALSE,Jasmina.Madelene@mailmail.com
Alyda,Camden,70,2016-04-09,Developers,"java,python",FALSE,Alyda.Camden@mailmail.com
Dode,Israeli,51,1974-12-31,Developers,"react,java",FALSE,Dode.Israeli@mailmail.com
Inga,Himelman,67,1967-03-22,HR,"js,typescript,javascript",TRUE,Inga.Himelman@mailmail.com
Lila,Bashemeth,25,1990-05-09,developer,"java,javascript",TRUE,Lila.Bashemeth@mailmail.com
Imojean,Paton,57,1980-04-19,HR,python,FALSE,Imojean.Paton@mailmail.com
Merry,Durware,10,2015-08-05,Developers,"py,python,java",FALSE,Merry.Durware@mailmail.com
Shaine,Suzetta,11,1947-06-18,Developers,"react,react",FALSE,Shaine.Suzetta@mailmail.com
Darlleen,Keily,49,1968-08-22,Recruitment,ts,FALSE,Darlleen.Keily@mailmail.com
Jolyn,Alabaster,53,1963-11-02,Recruitment,"js,javascript",TRUE,Jolyn.Alabaster@mailmail.com
Kirstin,Isacco,13,1991-01-16,worker,"python,ts",FALSE,Kirstin.Isacco@mailmail.com
Dorothy,Penelopa,27,2002-12-19,Recruitment,"js,python,javascript",TRUE,Dorothy.Penelopa@mailmail.com
Brandise,Zola,68,1952-07-14,HR,"py,js,react",FALSE,Brandise.Zola@mailmail.com
Belinda,Poll,9,1945-11-25,Developers,"javascript,py,react",FALSE,Belinda.Poll@mailmail.com
Alie,Vacuva,42,1956-12-22,Developers,,FALSE,Alie.Vacuva@mailmail.com
Violet,Munn,22,1995-05-20,Developers,"python,py",TRUE,Violet.Munn@mailmail.com
Verla,Kamaria,1,2003-05-30,developer,"javascript,react,ts",TRUE,Verla.Kamaria@mailmail.com
Clarice,Ahab,87,1942-04-25,worker,"java,js",FALSE,Clarice.Ahab@mailmail.com
Orelia,Ajay,33,1996-03-18,Developers,py,FALSE,Orelia.Ajay@mailmail.com
Ardeen,Wandie,95,1948-02-05,developer,typescript,TRUE,Ardeen.Wandie@mailmail.com
Bobinette,Sasnett,17,1961-02-11,Developers,"ts,js,react",TRUE,Bobinette.Sasnett@mailmail.com
Kore,Pitt,90,1942-10-07,HR,"python,py,ts",FALSE,Kore.Pitt@mailmail.com
Gaylene,Izaak,72,1957-11-30,developer,typescript,TRUE,Gaylene.Izaak@mailmail.com
Tressa,Ariella,61,1992-04-29,Recruitment,"javascript,ts,react",FALSE,Tressa.Ariella@mailmail.com
Elise,Gert,89,2023-11-30,Developers,"ts,javascript",FALSE,Elise.Gert@mailmail.com
Kimberley,Cornelia,5,1984-11-27,worker,"react,java,javascript",FALSE,Kimberley.Cornelia@mailmail.com
Amii,Ethban,94,1988-03-08,HR,python,FALSE,Amii.Ethban@mailmail.com
Karlee,Garrison,22,1995-01-26,Recruitment,"javascript,python,py",FALSE,Karlee.Garrison@mailmail.com
Fanchon,Ciapas,4,1962-10-22,Recruitment,"js,java",FALSE,Fanchon.Ciapas@mailmail.com
Lynea,Phyllis,51,1958-08-09,developer,"js,react",TRUE,Lynea.Phyllis@mailmail.com
Zondra,Brunell,28,1957-05-22,worker,js,FALSE,Zondra.Brunell@mailmail.com
Modestia,Yorick,94,1987-08-22,Developers,"ts,javascript",FALSE,Modestia.Yorick@mailmail.com
Nessie,Heidt,18,1987-03-22,HR,"python,java",FALSE,Nessie.Heidt@mailmail.com
Clary,Verger,8,1979-02-19,HR,"python,javascript,ts",FALSE,Clary.Verger@mailmail.com
Anica,Longfellow,71,1972-11-23,HR,"python,ts,java",FALSE,Anica.Longfellow@mailmail.com
Alex,Tjon,42,1947-06-08,HR,"typescript,typescript,js",FALSE,Alex.Tjon@mailmail.com
Mathilda,Vittoria,39,2016-10-21,Recruitment,"java,javascript",TRUE,Mathilda.Vittoria@mailmail.com
Lenna,Merriott,100,1961-12-16,Recruitment,,TRUE,Lenna.Merriott@mailmail.com
Brianna,Bebe,83,2002-12-09,developer,"ts,java",TRUE,Brianna.Bebe@mailmail.com
Chickie,Dash,98,1956-10-20,HR,"javascript,react",FALSE,Chickie.Dash@mailmail.com
Tarra,Jeanne,44,1998-09-15,worker,"typescript,typescript,ts",TRUE,Tarra.Jeanne@mailmail.com
Elka,Giff,82,2021-12-21,Developers,py,FALSE,Elka.Giff@mailmail.com
Ninnetta,Lenny,80,1940-12-11,HR,"typescript,react",FALSE,Ninnetta.Lenny@mailmail.com
Alleen,Agle,15,2019-10-08,Recruitment,"react,react",FALSE,Alleen.Agle@mailmail.com
Annabela,Fancie,15,2021-10-22,HR,ts,TRUE,Annabela.Fancie@mailmail.com
Kaia,Abernon,86,1955-10-22,Developers,ts,TRUE,Kaia.Abernon@mailmail.com
Selma,Ursulette,4,2020-10-25,worker,"py,java",FALSE,Selma.Ursulette@mailmail.com
Viki,Zamora,97,1981-10-15,HR,"react,ts,ts",FALSE,Viki.Zamora@mailmail.com
Annabela,Bord,98,2011-05-30,developer,py,TRUE,Annabela.Bord@mailmail.com
Tabbatha,Aurelio,15,1981-03-09,developer,ts,FALSE,Tabbatha.Aurelio@mailmail.com
Sheree,Camden,62,2007-06-29,HR,ts,TRUE,Sheree.Camden@mailmail.com
Carlie,Selway,39,1943-03-28,worker,"javascript,react,ts",FALSE,Carlie.Selway@mailmail.com
Suzette,Plato,95,1949-04-15,developer,javascript,FALSE,Suzette.Plato@mailmail.com
Annora,Deegan,71,2001-05-29,Developers,"ts,react,react",FALSE,Annora.Deegan@mailmail.com
Caryl,Zeeba,78,1972-08-07,Developers,"python,ts,py",FALSE,Caryl.Zeeba@mailmail.com
Karlee,Hertzfeld,36,1941-11-07,worker,"javascript,javascript",TRUE,Karlee.Hertzfeld@mailmail.com
Malina,Raseda,10,2019-07-28,worker,"js,react",FALSE,Malina.Raseda@mailmail.com
Carmela,Breed,64,2003-12-09,HR,js,TRUE,Carmela.Breed@mailmail.com
Modestia,Weaks,81,2016-04-21,worker,"py,js,javascript",TRUE,Modestia.Weaks@mailmail.com
Jenilee,Chaing,47,1974-11-24,worker,py,FALSE,Jenilee.Chaing@mailmail.com
Daphne,Wooster,16,2022-04-18,Recruitment,"python,js",FALSE,Daphne.Wooster@mailmail.com
Myrtice,Schalles,95,1953-11-25,Developers,python,TRUE,Myrtice.Schalles@mailmail.com
Tracey,Devlen,17,2018-07-22,developer,"python,react",TRUE,Tracey.Devlen@mailmail.com
Rayna,Maroney,9,1992-03-21,worker,"python,javascript,react",TRUE,Rayna.Maroney@mailmail.com
Rosabelle,Ahab,19,1967-04-30,HR,"js,javascript,py",FALSE,Rosabelle.Ahab@mailmail.com
Oralee,Kinnard,35,2001-05-15,Recruitment,"javascript,java",FALSE,Oralee.Kinnard@mailmail.com
Adelle,Naor,58,2007-08-21,Recruitment,"js,py",TRUE,Adelle.Naor@mailmail.com
Vinita,Clara,7,1943-12-27,Recruitment,"java,react,javascript",FALSE,Vinita.Clara@mailmail.com
Rhoda,Hanleigh,93,1958-06-04,Developers,"js,ts,java",TRUE,Rhoda.Hanleigh@mailmail.com
Brana,Couture,50,1994-07-26,Recruitment,"python,react",FALSE,Brana.Couture@mailmail.com
Selma,Cornelia,75,2024-05-28,Recruitment,"ts,ts",FALSE,Selma.Cornelia@mailmail.com
Merci,Gahl,68,2016-04-30,worker,"javascript,typescript",TRUE,Merci.Gahl@mailmail.com
Bettine,Brenn,73,2021-07-11,HR,"javascript,js,java",TRUE,Bettine.Brenn@mailmail.com
Sheelagh,Standing,35,1972-05-18,Recruitment,"js,py,py",TRUE,Sheelagh.Standing@mailmail.com
Gretal,Alabaster,13,2019-03-03,HR,"react,typescript,ts",FALSE,Gretal.Alabaster@mailmail.com
Gilda,Pettiford,48,1960-07-28,Recruitment,py,FALSE,Gilda.Pettiford@mailmail.com
Dolli,Frodi,2,1946-10-05,developer,"ts,js,ts",TRUE,Dolli.Frodi@mailmail.com
Annabela,Sikorski,55,2004-11-27,Developers,"js,javascript,python",TRUE,Annabela.Sikorski@mailmail.com
Ada,Randene,13,2008-01-31,worker,"react,ts",FALSE,Ada.Randene@mailmail.com
Alyssa,Iaverne,27,2009-05-04,HR,"js,ts",TRUE,Alyssa.Iaverne@mailmail.com
Wileen,Amand,19,1991-02-13,worker,"typescript,ts",FALSE,Wileen.Amand@mailmail.com
Maud,Atonsah,99,2014-01-18,worker,"python,react",TRUE,Maud.Atonsah@mailmail.com
Josephine,Desai,52,2001-05-18,Developers,"java,js",TRUE,Josephine.Desai@mailmail.com
Kimmy,Ajay,52,1977-12-01,HR,typescript,TRUE,Kimmy.Ajay@mailmail.com
Layla,Campball,50,1963-06-04,Developers,"js,js,react",TRUE,Layla.Campball@mailmail.com
Kathi,Junie,41,2003-03-19,Developers,"py,python",TRUE,Kathi.Junie@mailmail.com
Clarice,Jacobah,26,1970-07-19,Recruitment,"ts,react",TRUE,Clarice.Jacobah@mailmail.com
Xylina,Fink,58,2004-04-20,HR,js,TRUE,Xylina.Fink@mailmail.com
Trudie,Margarete,48,1965-10-23,Recruitment,"py,py,typescript",TRUE,Trudie.Margarete@mailmail.com
Florencia,Linehan,86,1981-01-11,Recruitment,"py,py",FALSE,Florencia.Linehan@mailmail.com
Rayna,Alarise,93,2003-03-20,HR,"javascript,py,ts",FALSE,Rayna.Alarise@mailmail.com
Paola,Konyn,8,2008-11-01,worker,"javascript,py,python",FALSE,Paola.Konyn@mailmail.com
Esmeralda,Melony,90,1981-02-24,worker,"js,javascript,ts",TRUE,Esmeralda.Melony@mailmail.com
Britte,Brackely,16,1940-03-15,worker,"python,python",TRUE,Britte.Brackely@mailmail.com
Goldie,Xerxes,31,1947-09-10,Developers,"javascript,javascript,react",TRUE,Goldie.Xerxes@mailmail.com
Renae,Heisel,32,1966-10-31,HR,"react,javascript,javascript",TRUE,Renae.Heisel@mailmail.com
Phylis,Bergman,62,1969-08-18,HR,"java,typescript,javascript",TRUE,Phylis.Bergman@mailmail.com
Jasmina,Yusuk,78,1984-03-21,Recruitment,"ts,py,java",FALSE,Jasmina.Yusuk@mailmail.com
Dulce,Olin,35,2019-02-02,worker,python,TRUE,Dulce.Olin@mailmail.com
Hallie,Chick,59,1982-01-11,Recruitment,"js,python",TRUE,Hallie.Chick@mailmail.com
Myriam,Gaal,54,2011-07-31,worker,"js,js",FALSE,Myriam.Gaal@mailmail.com
Deloria,Schenck,16,1988-11-03,HR,"py,python,js",FALSE,Deloria.Schenck@mailmail.com
Jessamyn,Havens,30,1973-12-22,worker,ts,FALSE,Jessamyn.Havens@mailmail.com
Audrie,Parsaye,67,2018-06-30,Developers,python,TRUE,Audrie.Parsaye@mailmail.com
Beverley,Zina,16,1957-02-02,Developers,py,FALSE,Beverley.Zina@mailmail.com
Letizia,Erb,45,1987-09-03,Recruitment,typescript,FALSE,Letizia.Erb@mailmail.com
Elbertina,Buffum,38,1977-12-05,developer,"javascript,java,typescript",FALSE,Elbertina.Buffum@mailmail.com
Livvyy,Brenn,67,2021-06-07,HR,"py,js",TRUE,Livvyy.Brenn@mailmail.com
Lorenza,Brittani,11,2006-07-23,HR,py,FALSE,Lorenza.Brittani@mailmail.com
Paule,Macey,62,1970-03-17,HR,js,FALSE,Paule.Macey@mailmail.com
Carmencita,Cullin,86,2003-05-02,developer,"java,typescript,js",TRUE,Carmencita.Cullin@mailmail.com
Katuscha,Atcliffe,81,1991-09-22,developer,typescript,FALSE,Katuscha.Atcliffe@mailmail.com
Isa,Karna,55,1954-01-07,developer,python,TRUE,Isa.Karna@mailmail.com
Jasmina,Phyllis,41,1957-04-07,Recruitment,"react,javascript",FALSE,Jasmina.Phyllis@mailmail.com
Marinna,Dex,69,1970-10-13,Recruitment,py,FALSE,Marinna.Dex@mailmail.com
Marika,Wenoa,79,1950-09-04,HR,"ts,typescript",FALSE,Marika.Wenoa@mailmail.com
Tarra,Vilma,12,1960-05-07,worker,"py,ts,python",TRUE,Tarra.Vilma@mailmail.com
Linet,Chapland,89,1971-07-09,HR,"python,react",TRUE,Linet.Chapland@mailmail.com
Roseline,Wyn,35,1947-10-27,HR,python,FALSE,Roseline.Wyn@mailmail.com
Madelle,Grobe,27,1957-04-25,worker,,FALSE,Madelle.Grobe@mailmail.com
Janeczka,Kalinda,40,1977-07-15,HR,ts,FALSE,Janeczka.Kalinda@mailmail.com
Stephanie,Lamoree,81,1975-08-19,Developers,typescript,TRUE,Stephanie.Lamoree@mailmail.com
Jemie,Pyle,1,1991-10-02,worker,react,TRUE,Jemie.Pyle@mailmail.com
Raf,Guthrie,32,1982-05-06,worker,"ts,py,javascript",TRUE,Raf.Guthrie@mailmail.com
Rhoda,Jess,3,2024-03-24,worker,"js,javascript",FALSE,Rhoda.Jess@mailmail.com
Lisette,Abram,95,1991-10-14,developer,py,FALSE,Lisette.Abram@mailmail.com
Penelopa,Harriman,15,1986-12-25,Developers,"ts,typescript,typescript",FALSE,Penelopa.Harriman@mailmail.com
Eugine,Leary,86,2005-06-10,Developers,"ts,js",TRUE,Eugine.Leary@mailmail.com
Caressa,Bach,19,1941-03-05,Developers,js,FALSE,Caressa.Bach@mailmail.com
Viki,Konyn,76,1969-03-22,HR,py,FALSE,Viki.Konyn@mailmail.com
Linzy,Woodberry,18,2010-10-06,worker,"java,ts",TRUE,Linzy.Woodberry@mailmail.com
Joane,Ezar,16,2015-10-23,Recruitment,"ts,java,react",TRUE,Joane.Ezar@mailmail.com
Carolina,Celestine,89,2007-10-25,worker,python,FALSE,Carolina.Celestine@mailmail.com
Valera,Adlare,27,1965-11-20,Recruitment,"py,react",FALSE,Valera.Adlare@mailmail.com
Petronia,Sinegold,76,1958-10-19,worker,"ts,javascript",FALSE,Petronia.Sinegold@mailmail.com
Chastity,Hebner,99,1967-02-08,Recruitment,python,TRUE,Chastity.Hebner@mailmail.com
Tomasina,Lane,42,1967-12-21,Developers,python,TRUE,Tomasina.Lane@mailmail.com
Nonnah,Etom,48,2005-06-25,worker,typescript,FALSE,Nonnah.Etom@mailmail.com
Georgina,Juliet,6,2020-01-17,HR,js,FALSE,Georgina.Juliet@mailmail.com
Marita,Scammon,47,1959-01-11,HR,"java,java",TRUE,Marita.Scammon@mailmail.com
Jan,Marden,36,2011-08-28,worker,,TRUE,Jan.Marden@mailmail.com
Madalyn,Dominy,47,1970-01-24,developer,"java,ts",FALSE,Madalyn.Dominy@mailmail.com
Ira,Berl,90,1984-06-19,developer,"python,java",TRUE,Ira.Berl@mailmail.com
Sara-Ann,Garek,41,2019-11-23,HR,javascript,TRUE,Sara-Ann.Garek@mailmail.com
Lyssa,Durware,29,1961-05-20,HR,"ts,typescript,java",TRUE,Lyssa.Durware@mailmail.com
Pamella,Aloise,29,2021-11-15,HR,"java,python",TRUE,Pamella.Aloise@mailmail.com
Malina,Pillsbury,7,2018-02-09,HR,"react,js,python",FALSE,Malina.Pillsbury@mailmail.com
Ivett,Belanger,74,1965-09-10,developer,python,TRUE,Ivett.Belanger@mailmail.com
Inga,Nadia,51,2006-10-25,worker,ts,FALSE,Inga.Nadia@mailmail.com
Ayn,Huggins,72,1988-09-25,Developers,js,TRUE,Ayn.Huggins@mailmail.com
Lanae,Fairweather,7,2004-08-17,worker,"python,python",FALSE,Lanae.Fairweather@mailmail.com
Cindelyn,Zola,77,2021-07-19,Developers,"java,javascript",FALSE,Cindelyn.Zola@mailmail.com
Roslyn,Malvino,72,2024-12-18,Developers,"js,javascript",FALSE,Roslyn.Malvino@mailmail.com
Agnese,Tacye,28,1982-09-27,developer,"python,java,ts",TRUE,Agnese.Tacye@mailmail.com
Sheelagh,Larochelle,61,2025-05-21,worker,"js,typescript,typescript",TRUE,Sheelagh.Larochelle@mailmail.com
Aubrie,Madaih,6,2021-03-22,Developers,python,TRUE,Aubrie.Madaih@mailmail.com
Brana,Nedrud,30,2011-10-24,Recruitment,javascript,FALSE,Brana.Nedrud@mailmail.com
Beth,Chauncey,38,1957-02-05,Recruitment,python,FALSE,Beth.Chauncey@mailmail.com
Alyda,Lenny,65,1995-06-28,Developers,ts,TRUE,Alyda.Lenny@mailmail.com
Lilith,Gaulin,29,1945-08-19,developer,"python,ts",FALSE,Lilith.Gaulin@mailmail.com
Madelle,Ursulette,82,2003-05-01,Developers,js,FALSE,Madelle.Ursulette@mailmail.com
Ninnetta,Jammal,5,1959-04-06,Recruitment,"ts,js",FALSE,Ninnetta.Jammal@mailmail.com
Aimil,Si,58,1951-07-10,Developers,"ts,py,javascript",TRUE,Aimil.Si@mailmail.com
Lita,Rogerio,7,2001-11-11,Developers,,FALSE,Lita.Rogerio@mailmail.com
Jordan,Fairweather,55,1978-11-30,developer,"react,python",FALSE,Jordan.Fairweather@mailmail.com
Cacilie,Diann,94,1955-05-30,developer,"python,python",FALSE,Cacilie.Diann@mailmail.com
Raf,Freddi,52,2002-07-01,HR,"js,py",FALSE,Raf.Freddi@mailmail.com
Modestia,Pillsbury,43,2009-03-27,Developers,"py,react,py",FALSE,Modestia.Pillsbury@mailmail.com
Adriana,Earlie,8,1943-04-21,developer,typescript,TRUE,Adriana.Earlie@mailmail.com
